"granularity","RX_position","TX_position","total_packets","csi_packets_used","Processing_time","memory_usage(GB)","true_phi","true_theta","top_aoa_phi","top_aoa_theta","top_aoa_confidence","top_aoa_total_error","top_aoa_error_phi","top_aoa_error_theta","closest_aoa_phi","closest_aoa_theta","closest_aoa_confidence","closest_aoa_total_error","closest_aoa_phi_error","closest_theta_error"
"360x180","P2","P0",965,769.00,4.61,12.32,-47.62,77.62       ,-28.58,72.40,16.16,19.74,-19.04,5.22,    -41.62,84.47,12.50,-6.01,-6.01,-6.85
"360x180","P2","P0",965,816.00,4.89,12.99,-47.56,77.62       ,-27.58,72.40,14.31,20.65,-19.99,5.22,    -31.59,107.60,10.95,-15.97,-15.97,-29.98
"360x180","P3","P0",965,728.00,4.37,11.53,-25.17,81.50       ,168.97,163.91,8.66,185.21,165.86,-82.41,    -81.73,95.53,6.69,56.56,56.56,-14.03
"360x180","P3","P0",965,763.00,4.59,12.05,-25.52,81.46       ,21.56,59.33,8.82,52.02,-47.08,22.13,    -37.60,47.26,6.82,12.09,12.09,34.19
"360x180","P3","P0",965,743.00,4.45,12.05,-25.18,81.45       ,-145.91,24.13,7.80,133.65,120.73,57.32,    -127.86,57.32,6.02,102.68,102.68,24.14
"360x180","P3","P0",965,737.00,4.46,12.05,-25.09,81.50       ,-145.91,151.84,8.56,139.81,120.82,-70.35,    -145.91,151.84,8.56,120.82,120.82,-70.35
"360x180","P3","P0",965,753.00,4.55,12.22,-25.00,81.48       ,-88.75,164.92,8.19,105.00,63.75,-83.43,    34.60,3.02,6.32,-59.59,-59.59,78.47
"360x180","P4","P0",983,781.00,4.68,12.18,3.25,80.17       ,-90.75,39.22,9.68,102.53,94.00,40.95,    18.55,151.84,7.46,-15.30,-15.30,-71.68
"360x180","P4","P0",983,772.00,4.62,12.18,3.51,80.17       ,-3.51,115.64,8.22,36.16,7.02,-35.47,    0.50,74.41,6.35,3.01,3.01,5.75
"360x180","P4","P0",,,,,,,,,,,,,,,,,,
"360x180","P4","P0",965,788.00,4.73,12.46,3.52,80.22       ,27.58,132.74,8.07,57.77,-24.06,-52.52,    5.52,84.47,6.25,-1.99,-1.99,-4.25
"360x180","P4","P0",965,766.00,4.57,12.46,3.55,80.21       ,13.54,157.88,8.27,78.31,-9.99,-77.67,    10.53,167.93,6.37,-6.98,-6.98,-87.72
"360x180","P5","P0",965,735.00,4.41,11.62,30.70,76.63       ,36.60,91.51,7.84,16.01,-5.90,-14.88,    34.60,111.62,6.06,-3.90,-3.90,-34.99
"360x180","P5","P0",965,757.00,4.56,11.98,30.55,76.46       ,-40.61,160.89,9.28,110.43,71.17,-84.44,    32.59,134.75,7.16,-2.04,-2.04,-58.29
